STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/25/2012,3.8,,,0.01,0,,,51,42,360,20,8.9,12.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/26/2012,14.76,,,0,0,,,53,31,350,330,30,44.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/27/2012,10.29,,,0,0,,,50,25,310,330,23.9,30
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/28/2012,7.61,,,0.18,0,,,56,38,200,210,17.9,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/29/2012,12.3,,,0,0,,,53,41,330,350,21,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/30/2012,8.95,,,0,0,,,53,35,310,310,21.9,29.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,3/31/2012,4.92,,,0.34,0.3,,,46,33,210,210,15,17.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/1/2012,2.91,,,0.15,0,,,50,34,250,240,13,16.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/2/2012,12.3,,,0,0,,,55,37,20,330,28,34.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/3/2012,8.72,,,0,0,,,60,31,330,320,21,29.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/4/2012,12.3,,,0,0,,,64,41,300,300,31.1,42.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/5/2012,10.29,,,0,0,,,53,36,320,360,19.9,25.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/6/2012,7.38,,,0,0,,,55,30,320,310,19.9,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/7/2012,9.4,,,0,0,,,58,31,330,320,21,31.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/8/2012,8.5,,,0,0,,,62,39,290,290,21,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/9/2012,11.63,,,0,0,,,60,44,270,250,30,40.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/10/2012,9.62,,,0,0,,,62,39,290,260,23.9,30
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/11/2012,6.71,,,0.02,0,,,58,41,20,30,16.1,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/12/2012,8.05,,,0.01,0,,,59,39,320,310,16.1,30
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/13/2012,7.38,,,0,0,,,65,31,300,360,19.9,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/14/2012,6.26,,,0,0,,,71,41,270,280,17,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/15/2012,7.61,,,0,0,,,80,55,230,230,17.9,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/16/2012,8.05,,,0,0,,,92,58,160,180,23.9,31.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/17/2012,10.51,,,0,0,,,78,53,310,310,21.9,31.1
